Data,Ettari
2024-09-01 13:03:59+00:00,48.0
2024-09-01 14:23:20+00:00,517.0
2024-09-01 22:05:15+00:00,91.0
2024-09-02 14:09:00+00:00,3323.0
2024-09-02 15:47:48+00:00,59.0
2024-09-02 16:58:23+00:00,40.0
2024-09-02 15:16:16+00:00,40.0
2024-09-03 10:18:38+00:00,14.0
2024-09-03 12:10:46+00:00,17000.0
2024-09-03 15:20:41+00:00,41.0
2024-09-04 12:56:11+00:00,18.0
2024-09-04 15:55:43+00:00,264.0
2024-09-05 15:37:29+00:00,10.0
2024-09-05 17:01:14+00:00,502.0
2024-09-05 18:33:57+00:00,43978.0
2024-09-06 12:14:39+00:00,18.0
2024-09-06 14:24:50+00:00,15.0
2024-09-06 17:06:53+00:00,25.0
2024-09-07 11:41:06+00:00,40.0
2024-09-07 14:03:11+00:00,1000.0
2024-09-07 16:12:16+00:00,25.0
2024-09-07 21:22:58+00:00,314.0
2024-09-08 14:45:26+00:00,81.0
2024-09-08 14:12:21+00:00,56030.0
2024-09-09 09:12:28+00:00,1960.0
2024-09-08 19:13:26+00:00,20.0
2024-09-09 13:15:11+00:00,63.0
2024-09-09 13:21:00+00:00,23526.0
2024-09-09 15:02:08+00:00,54.0
2024-09-09 16:07:20+00:00,48.0
2024-09-10 11:46:36+00:00,800.0
2024-09-10 16:34:15+00:00,20.0
2024-09-10 17:55:00+00:00,22.0
2024-09-11 13:19:00+00:00,62.0
2024-09-11 01:01:31+00:00,30.0
2024-09-11 15:13:57+00:00,18.0
2024-09-12 13:13:40+00:00,85.0
2024-09-14 16:32:28+00:00,12.0
2024-09-15 13:16:20+00:00,53.0
2024-09-15 15:19:28+00:00,15.0
2024-09-16 20:08:21+00:00,20.0
2024-09-17 11:28:26+00:00,58.0
2024-09-19 20:34:58+00:00,35.0
2024-09-23 13:16:44+00:00,11.0
2024-09-26 10:19:38+00:00,14.0
2024-09-27 14:48:30+00:00,42.0
2024-09-27 14:13:57+00:00,17.0
2024-09-27 17:26:28+00:00,38.0
2024-09-27 21:10:31+00:00,35.0
2024-09-28 18:12:31+00:00,13.0
2024-09-29 08:30:17+00:00,17.0
2024-09-30 13:00:03+00:00,633.0
2024-09-30 16:32:45+00:00,4.0
2024-10-02 02:19:22+00:00,25.0
2024-10-02 12:04:50+00:00,316.0
2024-10-02 14:01:34+00:00,23.0
2024-10-03 12:41:00+00:00,367.0
2024-10-03 18:34:02+00:00,10.0
2024-10-04 11:37:35+00:00,417.0
2024-10-04 15:56:13+00:00,50.0
2024-10-04 19:11:27+00:00,15.0
2024-10-04 21:46:32+00:00,22.0
2024-10-05 15:32:29+00:00,28.0
2024-10-03 16:01:18+00:00,10.0
2024-10-06 12:36:35+00:00,420.0
2024-10-06 13:39:46+00:00,15.0
2024-10-06 16:45:33+00:00,12.0
2024-10-06 19:57:47+00:00,26.0
2024-10-07 15:01:33+00:00,413.0
2024-10-08 12:18:12+00:00,56.0
2024-10-08 16:09:00+00:00,225.0
2024-10-09 13:04:42+00:00,110.0
2024-10-09 13:18:46+00:00,5124.0
2024-10-11 12:47:22+00:00,23.0
2024-10-13 14:18:15+00:00,12.0
2024-10-13 16:30:19+00:00,260.0
2024-10-15 10:55:10+00:00,16.0
2024-10-17 13:33:02+00:00,8.0
2024-10-17 16:30:47+00:00,80.0
2024-10-18 13:03:00+00:00,869.0
2024-10-18 14:25:00+00:00,15.0
2024-10-18 16:03:12+00:00,17.0
2024-10-19 02:14:53+00:00,13.0
2024-10-19 12:24:17+00:00,50.0
2024-10-19 13:04:01+00:00,60.0
2024-10-19 12:59:28+00:00,1000.0
2024-10-19 14:27:00+00:00,15.0
2024-10-21 13:03:06+00:00,38.0
2024-10-24 07:15:45+00:00,5.0
2024-10-24 12:04:23+00:00,40.0
2024-10-24 16:05:00+00:00,64.0
2024-10-26 12:48:10+00:00,15.0
2024-10-26 17:56:17+00:00,16.0
2024-10-28 03:19:00+00:00,524.0
2024-10-30 10:39:43+00:00,40.0
2024-10-31 13:31:00+00:00,10.0
2024-10-31 14:26:53+00:00,37.0
2024-11-03 15:33:42+00:00,47.0
2024-11-04 15:41:22+00:00,25.0
2024-11-06 08:51:00+00:00,19904.0
2024-11-06 10:09:58+00:00,50.0
2024-11-05 13:16:17+00:00,44.0
2024-11-06 11:31:51+00:00,11.0
2024-11-06 12:28:59+00:00,40.0
2024-10-30 11:27:05+00:00,4537.0
2024-11-07 12:41:00+00:00,94.0
2024-11-07 12:54:04+00:00,125.0
2024-11-08 12:48:54+00:00,48.0
2024-11-08 15:40:11+00:00,25.0
2024-11-11 09:54:34+00:00,8.0
2024-11-12 14:36:11+00:00,11.0
2024-11-13 11:40:05+00:00,20.0
2024-11-14 23:45:25+00:00,13.0
2024-11-16 21:32:09+00:00,10.0
2024-11-17 12:59:38+00:00,23.0
2024-11-20 13:45:08+00:00,50.0
2024-11-20 13:48:19+00:00,11.0
2024-11-20 16:43:05+00:00,46.0
2024-11-21 11:00:19+00:00,73.0
2024-11-21 13:40:43+00:00,24.0
2024-11-21 14:20:12+00:00,57.0
2024-11-22 13:35:12+00:00,34.0
2024-11-23 15:22:09+00:00,98.0
2024-11-28 20:04:37+00:00,254.0
2024-12-02 14:00:25+00:00,74.0
2024-12-05 11:28:51+00:00,
2024-12-09 22:50:53+00:00,4037.0
2024-12-10 20:06:05+00:00,10.0
2024-12-14 13:45:56+00:00,30.0
2024-12-17 19:50:15+00:00,25.0
2024-12-21 04:49:00+00:00,419.0
2025-01-01 20:08:00+00:00,42.0
2025-01-01 18:23:09+00:00,25.0
2025-01-07 10:30:00+00:00,23707.0
2025-01-07 18:18:00+00:00,14021.0
2025-01-07 22:29:30+00:00,799.0
2025-01-08 03:25:39+00:00,11.0
2025-01-08 06:15:27+00:00,30.0
2025-01-08 10:44:16+00:00,11.0
2025-01-08 14:07:38+00:00,395.0
2025-01-08 17:57:36+00:00,43.0
2025-01-09 15:34:13+00:00,1052.0
2025-01-10 11:24:44+00:00,19.0
2025-01-13 21:25:00+00:00,61.0
2025-01-14 13:10:51+00:00,2.0
2025-01-15 14:44:41+00:00,34.0
2025-01-21 01:19:23+00:00,85.0
2025-01-21 02:16:24+00:00,17.0
2025-01-21 12:32:09+00:00,3.0
2025-01-21 10:19:46+00:00,80.0
2025-01-21 17:00:13+00:00,39.0
2025-01-22 10:02:26+00:00,7.0
2025-01-22 10:53:02+00:00,10425.0
2025-01-23 00:36:20+00:00,45.0
2025-01-23 09:41:57+00:00,83.0
2025-01-23 13:58:00+00:00,6625.0
2025-01-23 14:42:58+00:00,2.0
2025-01-23 16:40:30+00:00,15.0
2025-01-29 12:53:53+00:00,105.0
